split_id,train_end_date,test_start_date,test_end_date,n_train,n_test,rmse,mae,r2,mape,model,category
1,2020-08-08,2020-08-09,2020-08-15,87,14,1.8239116260306172,1.5181137569486018,0.6205129866644654,17.31617714394931,Huber,茄类
2,2020-08-15,2020-08-16,2020-08-22,101,18,1.4892175769473335,1.2071411111111108,0.7293167346089089,13.992474176875842,RandomForest,茄类
2,2020-08-15,2020-08-16,2020-08-22,101,18,1.624339358666407,1.4162362799863593,0.6779682921194929,15.759644175177629,GradientBoosting,茄类
2,2020-08-15,2020-08-16,2020-08-22,101,18,2.075654848329603,1.6613174839944047,0.47415787238863416,17.840416957959558,Huber,茄类
3,2020-08-22,2020-08-23,2020-08-29,119,21,3.3201306724341597,2.6566504761904772,0.5087816934186198,132.2892606054404,RandomForest,茄类
3,2020-08-22,2020-08-23,2020-08-29,119,21,3.380361866730972,2.4249622647922835,0.4907974408729191,124.25850188525634,GradientBoosting,茄类
3,2020-08-22,2020-08-23,2020-08-29,119,21,3.0884170436911242,2.5922421662138304,0.5749538655412363,84.80563778174329,Huber,茄类
4,2020-08-29,2020-08-30,2020-09-05,140,22,3.1285939362973205,2.538282727272727,0.05040861966734278,44.17599415781802,RandomForest,茄类
4,2020-08-29,2020-08-30,2020-09-05,140,22,2.9213159199708016,2.301991022718452,0.17206657489273292,42.00744819945098,GradientBoosting,茄类
4,2020-08-29,2020-08-30,2020-09-05,140,22,2.957999690336443,2.432621452061889,0.15114284496046493,51.41768114602969,Huber,茄类
5,2020-09-05,2020-09-06,2020-09-12,162,27,2.043853210761658,1.8563214814814812,0.6867362284838762,96.25712891408261,RandomForest,茄类
5,2020-09-05,2020-09-06,2020-09-12,162,27,1.7099520092308307,1.4820070631766358,0.7807303048854475,71.89797880453436,GradientBoosting,茄类
5,2020-09-05,2020-09-06,2020-09-12,162,27,3.281175250517026,2.7526320895002576,0.19263554887470902,182.2115420532897,Huber,茄类
6,2020-09-12,2020-09-13,2020-09-19,189,21,2.7395903805600454,2.316834285714285,0.512734304446277,45.98358887586859,RandomForest,茄类
6,2020-09-12,2020-09-13,2020-09-19,189,21,2.2112283812213316,1.9031471536622817,0.682559911248612,38.581113716439894,GradientBoosting,茄类
6,2020-09-12,2020-09-13,2020-09-19,189,21,2.9010454637472183,1.8498694066079349,0.4536088682646423,22.463361239429343,Huber,茄类
